Airline,Departure,Destination,Departure_date,Arrival_date,Ticket_Price(Dollars),Stops,Travel_Time
Etihad,KTM,JFK,2023-11-21,2023-11-23,1240,3,20
Korean Air,KTM,JFK,2023-11-24,2023-11-26,1650,1,30
China Southern,KTM,JFK,2023-11-24,2023-11-26,1218,3,21
Cathay Pacific,KTM,JFK,2023-11-24,2023-11-27,1500,1,20
Korean Air,KTM,JFK,2023-11-24,2023-11-26,1210,1,22
Turkish Airlines,KTM,JFK,2023-11-24,2023-11-25,2380,2,34
Turkish Airlines,KTM,JFK,2023-11-24,2023-11-26,3500,1,50
China Southern,KTM,JFK,2023-11-24,2023-11-24,1148,1,28
Cathay Pacific,KTM,JFK,2023-11-24,2023-11-27,1575,2,21
Cathay Pacific,KTM,JFK,2023-11-24,2023-11-26,2925,2,39
Etihad,KTM,JFK,2023-11-24,2023-11-25,2170,1,35
Emirates,KTM,JFK,2023-11-24,2023-11-27,1482,2,39
China Southern,KTM,JFK,2023-11-24,2023-11-26,1148,1,28
China Southern,KTM,JFK,2023-11-24,2023-11-25,2494,1,43
Korean Air,KTM,JFK,2023-11-24,2023-11-26,1430,1,26
Qatar Airways,KTM,JFK,2023-11-24,2023-11-27,1880,3,47
Etihad,KTM,JFK,2023-11-24,2023-11-27,1550,3,25
China Southern,KTM,JFK,2023-11-24,2023-11-27,1394,1,34
China Southern,KTM,JFK,2023-11-24,2023-11-25,1681,2,41
Emirates,KTM,JFK,2023-11-24,2023-11-27,1178,1,31
China Southern,KTM,JFK,2023-11-24,2023-11-27,2784,3,48
Emirates,KTM,JFK,2023-11-24,2023-11-24,1710,3,45
Qatar Airways,KTM,JFK,2023-11-24,2023-11-24,1160,1,29
Korean Air,KTM,JFK,2023-11-24,2023-11-25,1815,2,33
Korean Air,KTM,JFK,2023-11-24,2023-11-25,2200,1,40
Qatar Airways,KTM,JFK,2023-11-24,2023-11-24,1600,2,40
Etihad,KTM,JFK,2023-11-24,2023-11-27,2108,3,34
China Southern,KTM,JFK,2023-11-25,2023-11-28,1558,2,38
China Southern,KTM,JFK,2023-11-25,2023-11-27,1845,1,45
China Southern,KTM,JFK,2023-11-25,2023-11-27,1886,2,46
Korean Air,KTM,JFK,2023-11-25,2023-11-26,1705,1,31
China Southern,KTM,JFK,2023-11-25,2023-11-28,1508,2,26
China Southern,KTM,JFK,2023-11-25,2023-11-27,1624,3,28
Qatar Airways,KTM,JFK,2023-11-25,2023-11-26,1760,1,44
Turkish Airlines,KTM,JFK,2023-11-25,2023-11-26,1470,2,21
Cathay Pacific,KTM,JFK,2023-11-25,2023-11-25,1500,2,20
China Southern,KTM,JFK,2023-11-25,2023-11-26,1276,3,22
Qatar Airways,KTM,JFK,2023-11-25,2023-11-28,1480,1,37
Etihad,KTM,JFK,2023-11-25,2023-11-26,2356,1,38
China Southern,KTM,JFK,2023-11-25,2023-11-26,1271,3,31
Etihad,KTM,JFK,2023-11-25,2023-11-25,1860,2,30
Emirates,KTM,JFK,2023-11-25,2023-11-28,1634,3,43
Emirates,KTM,JFK,2023-11-25,2023-11-26,1748,3,46
Emirates,KTM,JFK,2023-11-25,2023-11-26,1748,1,46
Qatar Airways,KTM,JFK,2023-11-25,2023-11-25,800,3,20
Turkish Airlines,KTM,JFK,2023-11-25,2023-11-25,1820,3,26
Korean Air,KTM,JFK,2023-11-25,2023-11-27,1210,2,22
Qatar Airways,KTM,JFK,2023-11-25,2023-11-28,1000,3,25
Etihad,KTM,JFK,2023-11-25,2023-11-28,1240,3,20
China Southern,KTM,JFK,2023-11-27,2023-11-30,1221,3,33
China Southern,KTM,JFK,2023-11-27,2023-11-28,1628,2,44
China Southern,KTM,JFK,2023-11-27,2023-11-27,851,1,23
Korean Air,KTM,JFK,2023-11-27,2023-11-30,2340,3,45
China Southern,KTM,JFK,2023-11-27,2023-11-27,1210,3,22
China Southern,KTM,JFK,2023-11-27,2023-11-29,2200,3,40
Qatar Airways,KTM,JFK,2023-11-27,2023-11-28,1064,2,28
Turkish Airlines,KTM,JFK,2023-11-27,2023-11-29,2211,2,33
Cathay Pacific,KTM,JFK,2023-11-27,2023-11-29,2380,2,34
China Southern,KTM,JFK,2023-11-27,2023-11-29,1375,1,25
Qatar Airways,KTM,JFK,2023-11-27,2023-11-27,1406,2,37
Etihad,KTM,JFK,2023-11-27,2023-11-28,1770,1,30
China Southern,KTM,JFK,2023-11-27,2023-11-27,1406,1,38
Etihad,KTM,JFK,2023-11-27,2023-11-29,2183,3,37
Emirates,KTM,JFK,2023-11-27,2023-11-29,1260,1,36
Emirates,KTM,JFK,2023-11-27,2023-11-28,1015,1,29
Emirates,KTM,JFK,2023-11-27,2023-11-28,1260,2,36
Qatar Airways,KTM,JFK,2023-11-27,2023-11-28,1558,3,41
Turkish Airlines,KTM,JFK,2023-11-27,2023-11-27,1675,2,25
Korean Air,KTM,JFK,2023-11-27,2023-11-28,1872,1,36
Qatar Airways,KTM,JFK,2023-11-27,2023-11-30,1216,2,32
Etihad,KTM,JFK,2023-11-27,2023-11-27,1239,2,21
Turkish Airlines,KTM,JFK,2023-11-30,2023-11-30,3038,2,49
Emirates,KTM,JFK,2023-11-30,2023-12-03,720,2,20
China Southern,KTM,JFK,2023-11-30,2023-12-02,1221,3,33
China Southern,KTM,JFK,2023-11-30,2023-12-02,2499,3,49
Korean Air,KTM,JFK,2023-11-30,2023-12-03,1250,1,25
Cathay Pacific,KTM,JFK,2023-11-30,2023-12-03,2760,2,46
China Southern,KTM,JFK,2023-11-30,2023-11-30,1258,1,34
China Southern,KTM,JFK,2023-11-30,2023-12-03,1480,1,40
Korean Air,KTM,JFK,2023-11-30,2023-12-02,1100,3,22
Turkish Airlines,KTM,JFK,2023-11-30,2023-11-30,3038,2,49
Korean Air,KTM,JFK,2023-11-30,2023-12-03,2150,3,43
Qatar Airways,KTM,JFK,2023-11-30,2023-12-02,1665,1,45
Etihad,KTM,JFK,2023-11-30,2023-12-02,1485,1,27
Emirates,KTM,JFK,2023-11-30,2023-12-01,1620,2,45
China Southern,KTM,JFK,2023-11-30,2023-12-01,1122,3,22
Qatar Airways,KTM,JFK,2023-11-30,2023-12-02,1628,1,44
Etihad,KTM,JFK,2023-11-30,2023-12-02,2640,3,48
China Southern,KTM,JFK,2023-11-30,2023-12-03,1813,1,49
Etihad,KTM,JFK,2023-11-30,2023-12-01,1595,1,29
Emirates,KTM,JFK,2023-11-30,2023-11-30,1008,2,28
Emirates,KTM,JFK,2023-11-30,2023-11-30,720,1,20
Qatar Airways,KTM,JFK,2023-11-30,2023-12-01,1110,1,30
Qatar Airways,KTM,JFK,2023-11-30,2023-12-02,1480,3,40
Korean Air,KTM,JFK,2023-11-30,2023-12-01,2400,1,48
China Southern,KTM,JFK,2023-11-30,2023-12-03,2142,3,42
Qatar Airways,KTM,JFK,2023-11-30,2023-12-03,1295,3,35
Korean Air,KTM,JFK,2023-11-30,2023-12-03,2300,1,46
Etihad,KTM,JFK,2023-12-03,2023-12-05,2090,3,38
Emirates,KTM,JFK,2023-12-03,2023-12-03,864,1,24
Cathay Pacific,KTM,JFK,2023-12-03,2023-12-04,2220,1,37
China Southern,KTM,JFK,2023-12-03,2023-12-02,1173,1,23
Cathay Pacific,KTM,JFK,2023-12-03,2023-12-05,2340,2,39
Turkish Airlines,KTM,JFK,2023-12-03,2023-12-03,1488,2,24
China Southern,KTM,JFK,2023-12-03,2023-12-02,1702,3,46
Cathay Pacific,KTM,JFK,2023-12-03,2023-12-04,2520,1,42
Korean Air,KTM,JFK,2023-12-03,2023-12-05,1250,3,25
Etihad,KTM,JFK,2023-12-03,2023-12-02,1485,1,27
Korean Air,KTM,JFK,2023-12-03,2023-12-02,1900,1,38
Qatar Airways,KTM,JFK,2023-12-03,2023-12-05,814,1,22
China Southern,KTM,JFK,2023-12-03,2023-12-02,1443,1,39
Emirates,KTM,JFK,2023-12-03,2023-12-04,1476,3,41
China Southern,KTM,JFK,2023-12-03,2023-12-02,1734,2,34
Turkish Airlines,KTM,JFK,2023-12-03,2023-12-04,2852,1,46
Qatar Airways,KTM,JFK,2023-12-03,2023-12-04,1628,3,44
Etihad,KTM,JFK,2023-12-03,2023-12-05,1320,1,24
China Southern,KTM,JFK,2023-12-03,2023-12-02,1258,1,34
China Southern,KTM,JFK,2023-12-03,2023-12-02,1739,2,47
Emirates,KTM,JFK,2023-12-03,2023-12-03,1080,2,30
Emirates,KTM,JFK,2023-12-03,2023-12-05,1620,1,45
Qatar Airways,KTM,JFK,2023-12-03,2023-12-02,1665,2,45
Qatar Airways,KTM,JFK,2023-12-03,2023-12-03,1628,2,44
Korean Air,KTM,JFK,2023-12-03,2023-12-04,1100,1,22
China Southern,KTM,JFK,2023-12-03,2023-12-02,1989,3,39
Qatar Airways,KTM,JFK,2023-12-03,2023-12-04,1628,3,44
Turkish Airlines,KTM,JFK,2023-12-03,2023-12-03,2542,3,41
Emirates,KTM,JFK,2023-12-04,2023-12-04,936,2,26
Korean Air,KTM,JFK,2023-12-04,2023-12-04,1122,3,22
Turkish Airlines,KTM,JFK,2023-12-04,2023-12-05,2560,1,40
Turkish Airlines,KTM,JFK,2023-12-04,2023-12-07,1280,3,20
Korean Air,KTM,JFK,2023-12-04,2023-12-04,1173,1,23
Qatar Airways,KTM,JFK,2023-12-04,2023-12-06,1332,1,36
Emirates,KTM,JFK,2023-12-04,2023-12-07,1656,1,46
Turkish Airlines,KTM,JFK,2023-12-04,2023-12-05,2688,1,42
Etihad,KTM,JFK,2023-12-04,2023-12-06,1197,1,21
China Southern,KTM,JFK,2023-12-04,2023-12-06,1640,2,41
Korean Air,KTM,JFK,2023-12-04,2023-12-04,1071,2,21
Etihad,KTM,JFK,2023-12-04,2023-12-07,1938,3,34
Etihad,KTM,JFK,2023-12-04,2023-12-06,2109,2,37
Emirates,KTM,JFK,2023-12-04,2023-12-05,1044,1,29
Cathay Pacific,KTM,JFK,2023-12-04,2023-12-04,1426,1,23
China Southern,KTM,JFK,2023-12-04,2023-12-05,2014,2,38
Qatar Airways,KTM,JFK,2023-12-04,2023-12-06,999,2,27
China Southern,KTM,JFK,2023-12-04,2023-12-05,2544,3,48
China Southern,KTM,JFK,2023-12-04,2023-12-04,1920,3,48
China Southern,KTM,JFK,2023-12-04,2023-12-04,1908,1,36
Emirates,KTM,JFK,2023-12-04,2023-12-07,1620,3,45
Qatar Airways,KTM,JFK,2023-12-04,2023-12-07,1036,1,28
China Southern,KTM,JFK,2023-12-04,2023-12-05,1600,3,40
Cathay Pacific,KTM,JFK,2023-12-04,2023-12-04,1488,1,24
Turkish Airlines,KTM,JFK,2023-12-04,2023-12-04,1280,2,20
China Southern,KTM,JFK,2023-12-04,2023-12-05,1120,1,28
Qatar Airways,KTM,JFK,2023-12-04,2023-12-05,1443,3,39
Qatar Airways,KTM,JFK,2023-12-04,2023-12-05,1184,3,32
Qatar Airways,KTM,JFK,2023-12-04,2023-12-06,1665,2,45
Qatar Airways,KTM,JFK,2023-12-04,2023-12-04,1443,2,39
China Southern,KTM,JFK,2023-12-04,2023-12-06,1802,2,34
Emirates,KTM,JFK,2023-12-04,2023-12-05,900,3,25
Cathay Pacific,KTM,JFK,2023-12-04,2023-12-06,1922,1,31
Korean Air,KTM,JFK,2023-12-06,2023-12-08,2499,1,49
Emirates,KTM,JFK,2023-12-06,2023-12-09,1296,2,36
China Southern,KTM,JFK,2023-12-06,2023-12-09,800,1,20
China Southern,KTM,JFK,2023-12-06,2023-12-09,1325,2,25
Turkish Airlines,KTM,JFK,2023-12-06,2023-12-07,2240,2,35
Turkish Airlines,KTM,JFK,2023-12-06,2023-12-06,2368,3,37
China Southern,KTM,JFK,2023-12-06,2023-12-06,1800,2,45
Cathay Pacific,KTM,JFK,2023-12-06,2023-12-09,2480,2,40
China Southern,KTM,JFK,2023-12-06,2023-12-06,1040,1,26
Turkish Airlines,KTM,JFK,2023-12-06,2023-12-06,1792,1,28
Qatar Airways,KTM,JFK,2023-12-06,2023-12-06,962,3,26
Etihad,KTM,JFK,2023-12-06,2023-12-08,1995,3,35
Emirates,KTM,JFK,2023-12-06,2023-12-09,1800,3,50
China Southern,KTM,JFK,2023-12-06,2023-12-07,2544,2,48
Qatar Airways,KTM,JFK,2023-12-06,2023-12-07,1147,1,31
Etihad,KTM,JFK,2023-12-06,2023-12-07,2337,1,41
China Southern,KTM,JFK,2023-12-06,2023-12-07,1520,2,38
Etihad,KTM,JFK,2023-12-06,2023-12-08,1938,2,34
Emirates,KTM,JFK,2023-12-06,2023-12-08,828,3,23
Emirates,KTM,JFK,2023-12-06,2023-12-06,720,1,20
Qatar Airways,KTM,JFK,2023-12-06,2023-12-08,1073,1,29
Qatar Airways,KTM,JFK,2023-12-06,2023-12-09,740,1,20
Korean Air,KTM,JFK,2023-12-06,2023-12-09,1173,1,23
China Southern,KTM,JFK,2023-12-06,2023-12-06,2120,1,40
Qatar Airways,KTM,JFK,2023-12-06,2023-12-07,1517,1,41
Turkish Airlines,KTM,JFK,2023-12-06,2023-12-07,2176,2,34
Qatar Airways,KTM,JFK,2023-12-09,2023-12-11,858,1,22
Cathay Pacific,KTM,JFK,2023-12-09,2023-12-09,1300,1,20
Korean Air,KTM,JFK,2023-12-09,2023-12-10,2337,3,41
Etihad,KTM,JFK,2023-12-09,2023-12-11,2460,1,41
Emirates,KTM,JFK,2023-12-09,2023-12-12,1560,1,39
China Southern,KTM,JFK,2023-12-09,2023-12-09,1815,1,33
Korean Air,KTM,JFK,2023-12-09,2023-12-10,2793,1,49
Turkish Airlines,KTM,JFK,2023-12-09,2023-12-09,2448,3,36
China Southern,KTM,JFK,2023-12-09,2023-12-11,1650,2,30
Cathay Pacific,KTM,JFK,2023-12-09,2023-12-11,2145,2,33
Korean Air,KTM,JFK,2023-12-09,2023-12-12,1197,1,21
Emirates,KTM,JFK,2023-12-09,2023-12-10,1600,1,40
Turkish Airlines,KTM,JFK,2023-12-09,2023-12-09,2720,2,40
Korean Air,KTM,JFK,2023-12-09,2023-12-12,2052,2,36
China Southern,KTM,JFK,2023-12-09,2023-12-11,1218,3,29
Etihad,KTM,JFK,2023-12-09,2023-12-10,1560,1,26
Etihad,KTM,JFK,2023-12-09,2023-12-09,2280,1,38
Turkish Airlines,KTM,JFK,2023-12-09,2023-12-10,1428,2,21
Qatar Airways,KTM,JFK,2023-12-09,2023-12-11,897,1,23
Emirates,KTM,JFK,2023-12-09,2023-12-09,960,3,24
Emirates,KTM,JFK,2023-12-09,2023-12-12,1120,1,28
Korean Air,KTM,JFK,2023-12-09,2023-12-09,1368,3,24
Cathay Pacific,KTM,JFK,2023-12-09,2023-12-11,2730,1,42
Korean Air,KTM,JFK,2023-12-09,2023-12-09,1482,2,26
China Southern,KTM,JFK,2023-12-09,2023-12-10,1890,3,45
Qatar Airways,KTM,JFK,2023-12-09,2023-12-12,1950,3,50
China Southern,KTM,JFK,2023-12-09,2023-12-11,2640,3,48
China Southern,KTM,JFK,2023-12-09,2023-12-09,1680,3,40
China Southern,KTM,JFK,2023-12-09,2023-12-09,2310,2,42
Emirates,KTM,JFK,2023-12-09,2023-12-11,1040,1,26
Turkish Airlines,KTM,JFK,2023-12-09,2023-12-09,2040,2,30
Qatar Airways,KTM,JFK,2023-12-09,2023-12-10,1716,1,44
Qatar Airways,KTM,JFK,2023-12-09,2023-12-11,1131,2,29
Korean Air,KTM,JFK,2023-12-09,2023-12-10,2565,2,45
China Southern,KTM,JFK,2023-12-09,2023-12-09,840,2,20
Qatar Airways,KTM,JFK,2023-12-09,2023-12-12,1560,3,40
Qatar Airways,KTM,JFK,2023-12-09,2023-12-10,819,1,21
Etihad,KTM,JFK,2023-12-09,2023-12-09,2940,1,49
China Southern,KTM,JFK,2023-12-09,2023-12-10,1260,3,30
Emirates,KTM,JFK,2023-12-09,2023-12-10,2000,3,50
Etihad,KTM,JFK,2023-12-09,2023-12-10,1680,3,28
China Southern,KTM,JFK,2023-12-11,2023-12-13,2640,3,48
Korean Air,KTM,JFK,2023-12-11,2023-12-14,1710,2,30
Emirates,KTM,JFK,2023-12-11,2023-12-14,1160,1,29
Korean Air,KTM,JFK,2023-12-11,2023-12-12,1881,1,33
Turkish Airlines,KTM,JFK,2023-12-11,2023-12-11,2652,2,39
Etihad,KTM,JFK,2023-12-11,2023-12-14,2340,3,39
Etihad,KTM,JFK,2023-12-11,2023-12-14,1860,2,31
Korean Air,KTM,JFK,2023-12-11,2023-12-11,2337,1,41
Korean Air,KTM,JFK,2023-12-11,2023-12-12,2394,1,42
Qatar Airways,KTM,JFK,2023-12-11,2023-12-11,1794,2,46
Emirates,KTM,JFK,2023-12-11,2023-12-13,1120,3,28
Emirates,KTM,JFK,2023-12-11,2023-12-14,1080,3,27
Turkish Airlines,KTM,JFK,2023-12-11,2023-12-14,1972,2,29
China Southern,KTM,JFK,2023-12-11,2023-12-12,1302,3,31
Cathay Pacific,KTM,JFK,2023-12-11,2023-12-13,2275,2,35
Korean Air,KTM,JFK,2023-12-11,2023-12-14,1653,2,29
Etihad,KTM,JFK,2023-12-11,2023-12-13,2400,3,40
Qatar Airways,KTM,JFK,2023-12-11,2023-12-14,1755,1,45
Korean Air,KTM,JFK,2023-12-11,2023-12-13,2052,2,36
China Southern,KTM,JFK,2023-12-11,2023-12-13,1596,3,38
Korean Air,KTM,JFK,2023-12-11,2023-12-13,2280,1,40
Emirates,KTM,JFK,2023-12-11,2023-12-12,800,3,20
Qatar Airways,KTM,JFK,2023-12-11,2023-12-13,897,3,23
Etihad,KTM,JFK,2023-12-11,2023-12-11,2700,3,45
Cathay Pacific,KTM,JFK,2023-12-11,2023-12-13,1560,2,24
Turkish Airlines,KTM,JFK,2023-12-11,2023-12-12,2312,2,34
Etihad,KTM,JFK,2023-12-11,2023-12-13,1380,3,23
Emirates,KTM,JFK,2023-12-11,2023-12-13,1560,3,39
Emirates,KTM,JFK,2023-12-11,2023-12-12,1800,1,45
Qatar Airways,KTM,JFK,2023-12-11,2023-12-12,1872,1,48
Qatar Airways,KTM,JFK,2023-12-11,2023-12-11,897,1,23
China Southern,KTM,JFK,2023-12-11,2023-12-11,1100,3,20
China Southern,KTM,JFK,2023-12-11,2023-12-12,2145,2,39
Cathay Pacific,KTM,JFK,2023-12-11,2023-12-12,1885,3,29
Emirates,KTM,JFK,2023-12-13,2023-12-14,1120,3,32
Turkish Airlines,KTM,JFK,2023-12-13,2023-12-15,1449,1,23
Turkish Airlines,KTM,JFK,2023-12-13,2023-12-13,2268,3,36
Etihad,KTM,JFK,2023-12-13,2023-12-13,1815,2,33
Korean Air,KTM,JFK,2023-12-13,2023-12-13,1300,3,25
Qatar Airways,KTM,JFK,2023-12-13,2023-12-16,1443,3,39
Emirates,KTM,JFK,2023-12-13,2023-12-14,1435,1,41
Etihad,KTM,JFK,2023-12-13,2023-12-13,2695,1,49
China Southern,KTM,JFK,2023-12-13,2023-12-14,1116,2,31
Cathay Pacific,KTM,JFK,2023-12-13,2023-12-14,1440,2,20
Turkish Airlines,KTM,JFK,2023-12-13,2023-12-14,1323,3,21
China Southern,KTM,JFK,2023-12-13,2023-12-15,1368,3,38
Etihad,KTM,JFK,2023-12-13,2023-12-14,2475,2,45
China Southern,KTM,JFK,2023-12-13,2023-12-16,1682,2,29
Cathay Pacific,KTM,JFK,2023-12-13,2023-12-13,2736,1,38
China Southern,KTM,JFK,2023-12-13,2023-12-14,1740,3,30
Qatar Airways,KTM,JFK,2023-12-13,2023-12-13,1628,3,44
Korean Air,KTM,JFK,2023-12-13,2023-12-13,1924,2,37
China Southern,KTM,JFK,2023-12-13,2023-12-15,1620,1,45
Korean Air,KTM,JFK,2023-12-13,2023-12-13,2496,1,48
Emirates,KTM,JFK,2023-12-13,2023-12-15,700,2,20
Qatar Airways,KTM,JFK,2023-12-13,2023-12-15,1665,1,45
China Southern,KTM,JFK,2023-12-13,2023-12-13,1548,2,43
Cathay Pacific,KTM,JFK,2023-12-13,2023-12-14,2520,3,35
Etihad,KTM,JFK,2023-12-13,2023-12-16,1650,2,30
China Southern,KTM,JFK,2023-12-13,2023-12-13,1620,3,45
Emirates,KTM,JFK,2023-12-13,2023-12-16,1540,1,44
Emirates,KTM,JFK,2023-12-13,2023-12-16,805,3,23
Qatar Airways,KTM,JFK,2023-12-13,2023-12-16,925,3,25
Qatar Airways,KTM,JFK,2023-12-13,2023-12-14,1813,2,49
Korean Air,KTM,JFK,2023-12-13,2023-12-13,2548,1,49
China Southern,KTM,JFK,2023-12-13,2023-12-13,1914,1,33
Cathay Pacific,KTM,JFK,2023-12-13,2023-12-15,3024,2,42
Turkish Airlines,KTM,JFK,2023-12-15,2023-12-18,1827,1,29
Emirates,KTM,JFK,2023-12-15,2023-12-15,1085,2,31
Cathay Pacific,KTM,JFK,2023-12-15,2023-12-16,2520,3,35
Emirates,KTM,JFK,2023-12-15,2023-12-17,840,3,24
Turkish Airlines,KTM,JFK,2023-12-15,2023-12-17,2268,2,36
Turkish Airlines,KTM,JFK,2023-12-15,2023-12-17,2520,1,40
China Southern,KTM,JFK,2023-12-15,2023-12-18,1800,1,50
Etihad,KTM,JFK,2023-12-15,2023-12-18,1925,1,35
Cathay Pacific,KTM,JFK,2023-12-15,2023-12-17,1512,3,21
Etihad,KTM,JFK,2023-12-15,2023-12-15,1870,2,34
China Southern,KTM,JFK,2023-12-15,2023-12-18,2610,3,45
China Southern,KTM,JFK,2023-12-15,2023-12-18,1764,2,49
China Southern,KTM,JFK,2023-12-15,2023-12-17,1624,2,28
Qatar Airways,KTM,JFK,2023-12-15,2023-12-17,1332,1,36
Korean Air,KTM,JFK,2023-12-15,2023-12-16,1040,1,20
Etihad,KTM,JFK,2023-12-15,2023-12-18,2035,3,37
Korean Air,KTM,JFK,2023-12-15,2023-12-16,1560,2,30
Emirates,KTM,JFK,2023-12-15,2023-12-17,1680,2,48
Qatar Airways,KTM,JFK,2023-12-15,2023-12-17,1221,1,33
Etihad,KTM,JFK,2023-12-15,2023-12-16,2420,2,44
China Southern,KTM,JFK,2023-12-15,2023-12-16,972,3,27
Etihad,KTM,JFK,2023-12-15,2023-12-16,2035,1,37
Emirates,KTM,JFK,2023-12-15,2023-12-15,1120,3,32
Emirates,KTM,JFK,2023-12-15,2023-12-15,1435,2,41
Qatar Airways,KTM,JFK,2023-12-15,2023-12-16,888,2,24
Qatar Airways,KTM,JFK,2023-12-15,2023-12-18,1517,3,41
Korean Air,KTM,JFK,2023-12-15,2023-12-16,1248,1,24
China Southern,KTM,JFK,2023-12-15,2023-12-17,2204,1,38
Qatar Airways,KTM,JFK,2023-12-15,2023-12-18,1776,1,48
Korean Air,KTM,JFK,2023-12-15,2023-12-15,2236,3,43
Turkish Airlines,KTM,JFK,2023-12-17,2023-12-19,2080,2,32
China Southern,KTM,JFK,2023-12-17,2023-12-19,1798,2,29
Cathay Pacific,KTM,JFK,2023-12-17,2023-12-19,2847,3,39
China Southern,KTM,JFK,2023-12-17,2023-12-20,2232,2,36
Etihad,KTM,JFK,2023-12-17,2023-12-19,2679,1,47
Etihad,KTM,JFK,2023-12-17,2023-12-20,1938,3,34
Cathay Pacific,KTM,JFK,2023-12-17,2023-12-19,1971,3,27
Turkish Airlines,KTM,JFK,2023-12-17,2023-12-18,1625,2,25
Cathay Pacific,KTM,JFK,2023-12-17,2023-12-17,2628,2,36
Etihad,KTM,JFK,2023-12-17,2023-12-19,1254,1,22
Etihad,KTM,JFK,2023-12-17,2023-12-17,2166,1,38
China Southern,KTM,JFK,2023-12-17,2023-12-17,2232,3,36
Cathay Pacific,KTM,JFK,2023-12-17,2023-12-20,3212,2,44
Korean Air,KTM,JFK,2023-12-17,2023-12-20,2475,1,45
Qatar Airways,KTM,JFK,2023-12-17,2023-12-19,800,1,20
Korean Air,KTM,JFK,2023-12-17,2023-12-18,2420,2,44
China Southern,KTM,JFK,2023-12-17,2023-12-19,1428,3,34
Turkish Airlines,KTM,JFK,2023-12-17,2023-12-19,2470,3,38
Emirates,KTM,JFK,2023-12-17,2023-12-18,1292,1,34
Qatar Airways,KTM,JFK,2023-12-17,2023-12-18,960,3,24
China Southern,KTM,JFK,2023-12-17,2023-12-17,1050,3,25
Cathay Pacific,KTM,JFK,2023-12-17,2023-12-20,1825,2,25
Etihad,KTM,JFK,2023-12-17,2023-12-17,1596,1,28
China Southern,KTM,JFK,2023-12-17,2023-12-20,840,3,20
Emirates,KTM,JFK,2023-12-17,2023-12-20,1444,3,38
Emirates,KTM,JFK,2023-12-17,2023-12-18,1748,3,46
Emirates,KTM,JFK,2023-12-17,2023-12-20,1634,3,43
Qatar Airways,KTM,JFK,2023-12-17,2023-12-17,1280,1,32
Korean Air,KTM,JFK,2023-12-17,2023-12-20,2310,2,42
Korean Air,KTM,JFK,2023-12-17,2023-12-20,1650,3,30
Qatar Airways,KTM,JFK,2023-12-17,2023-12-19,1560,2,39
Turkish Airlines,KTM,JFK,2023-12-17,2023-12-17,2145,2,33
Qatar Airways,KTM,JFK,2023-12-19,2023-12-20,1240,3,31
Etihad,KTM,JFK,2023-12-19,2023-12-20,1767,1,31
Turkish Airlines,KTM,JFK,2023-12-19,2023-12-20,1365,1,21
China Southern,KTM,JFK,2023-12-19,2023-12-22,2542,1,41
Etihad,KTM,JFK,2023-12-19,2023-12-21,1311,2,23
Etihad,KTM,JFK,2023-12-19,2023-12-20,1938,2,34
Korean Air,KTM,JFK,2023-12-19,2023-12-20,1760,3,32
China Southern,KTM,JFK,2023-12-19,2023-12-22,2356,2,38
China Southern,KTM,JFK,2023-12-19,2023-12-22,1008,3,24
China Southern,KTM,JFK,2023-12-19,2023-12-21,1596,1,38
Etihad,KTM,JFK,2023-12-19,2023-12-20,1767,1,31
Turkish Airlines,KTM,JFK,2023-12-19,2023-12-20,2405,2,37
Turkish Airlines,KTM,JFK,2023-12-19,2023-12-22,1300,1,20
Turkish Airlines,KTM,JFK,2023-12-19,2023-12-21,1560,2,24
Qatar Airways,KTM,JFK,2023-12-19,2023-12-20,960,3,24
China Southern,KTM,JFK,2023-12-19,2023-12-19,2790,3,45
China Southern,KTM,JFK,2023-12-19,2023-12-22,2356,3,38
Cathay Pacific,KTM,JFK,2023-12-19,2023-12-19,1679,1,23
China Southern,KTM,JFK,2023-12-19,2023-12-21,1512,1,36
Qatar Airways,KTM,JFK,2023-12-19,2023-12-21,1480,1,37
Korean Air,KTM,JFK,2023-12-19,2023-12-22,2695,1,49
Cathay Pacific,KTM,JFK,2023-12-19,2023-12-22,3285,1,45
Korean Air,KTM,JFK,2023-12-19,2023-12-21,2475,3,45
Emirates,KTM,JFK,2023-12-19,2023-12-21,1862,2,49
Qatar Airways,KTM,JFK,2023-12-19,2023-12-20,1720,1,43
China Southern,KTM,JFK,2023-12-19,2023-12-21,1890,3,45
Korean Air,KTM,JFK,2023-12-19,2023-12-21,1650,3,30
Etihad,KTM,JFK,2023-12-19,2023-12-20,2337,3,41
Cathay Pacific,KTM,JFK,2023-12-19,2023-12-19,1679,1,23
Emirates,KTM,JFK,2023-12-19,2023-12-21,1368,3,36
Emirates,KTM,JFK,2023-12-19,2023-12-21,1748,2,46
Emirates,KTM,JFK,2023-12-19,2023-12-21,1748,1,46
China Southern,KTM,JFK,2023-12-19,2023-12-20,1722,2,41
Cathay Pacific,KTM,JFK,2023-12-19,2023-12-22,3285,3,45
China Southern,KTM,JFK,2023-12-19,2023-12-21,2604,1,42
Cathay Pacific,KTM,JFK,2023-12-19,2023-12-20,2263,3,31
Qatar Airways,KTM,JFK,2023-12-20,2023-12-20,1638,1,39
China Southern,KTM,JFK,2023-12-20,2023-12-22,1305,2,29
China Southern,KTM,JFK,2023-12-20,2023-12-21,2025,3,45
Cathay Pacific,KTM,JFK,2023-12-20,2023-12-22,2250,1,30
